,title,brand,price,rating,reviewCount,description,categories
0,"IMPERIUM® Silver Stainless Steel 6kg/hr, 600-Watt Automatic Oil Maker Machine with Simplified Digital Temperature Controller, Oil Machine for Home",,"22,580",4.1,37,,Kitchen-And-Home-Appliances
1,"Wipro Vesta Electric Kettle Stainless Steel 1.7 L | 2000W | Auto Shut-Off | Boil Dry Protection | 360° Rotating Base | Single Touch lid locking | Water Level Indicator, Black, Standard | Power Plug",,"1,919",3.7,73,,Kitchen-And-Home-Appliances
2,"Candes Ultra 500 Watt Mixer Grinder with 3 Unbreakable SS Jars & 2 Year Motor Warranty (White, Blue)",,"1,399",3.7,29,,Kitchen-And-Home-Appliances
3,J K b K - Induction Cooker Glass Plate - Square Shape : 26 x 26 cm,,435,,,,Kitchen-And-Home-Appliances
4,ScaleChecck Good Chemistry Reverse Osmosis Antiscalant Liquid - RO Water Treatment Plant Liquid - Dosing Chemical (5 KG Can),,"1,349",3.8,19,,Kitchen-And-Home-Appliances
5,"Wipro Vesta Bread Toaster 800-Watt Auto Pop-up with Removable Crumb Tray, 7 Browning Levels with Defrost and Pre Heat Function (White), Standard (VA021020)",,"2,199",4.1,153,,Kitchen-And-Home-Appliances
6,"Eco Crystal Fresh N Clean CPR Physical Water Softener with Hose Pipe (Prefilter, Light Blue)",,"2,150",3.9,133,,Kitchen-And-Home-Appliances
7,Wonderchef Crimson Edge Stand Mixer And Beater | 4.5L SS Bowl | 300W motor | 5 Speed Settings | Includes Mixing Beater & Dough Hook attachments & spatula | 2 Yrs warranty | Red | Kitchen Stand Mixer,,"6,499",3.8,345,,Kitchen-And-Home-Appliances
8,TEXUM TX-500 high Pressure Washer Machine with Max Pressure (180 to 210) bar and Motive Power 2.4 Kw for Washing car Bike Home and Multi Cleaning Applications. (TEXUM TX-500),,"9,879",4.2,14,,Kitchen-And-Home-Appliances
9,MISK Garment Steamer for Clothes|Steam Iron| Clothes Steamer for Horizontal And Vertical Fabric Ironing with Fast Steam Burst 25 g/min 120 ML Water Tank For Home And Travel (Pista Green),,"2,449",4.0,21,,Kitchen-And-Home-Appliances
10,"Usha 3716 16 Liters Oven Toaster Grill with 5 Accessories, 1200 W, 3 mode Heating Function(Maroon)",,"5,499",4.1,330,,Kitchen-And-Home-Appliances
11,"Havells 900mm Enticer Art Energy Saving Ceiling Fan (Pearl White Chrome, Pack of 1)",,"3,598",,,,Kitchen-And-Home-Appliances
12,"AQUANZA 9""MLT Carbon Filter Cartridge Suitable for All Types of Water Purifier |9"" Pre Filter MLT Candle|Suitable for All Types of Water Purifier (Pack of 12)",,599,3.6,34,,Kitchen-And-Home-Appliances
13,"Candy 1.5 Ton 3 Star Dual DC Inverter Split AC (Copper, 2022 Model, C18F13INV, White)",,"27,990",4.0,312,,Kitchen-And-Home-Appliances
14,USHA Heat Convector 812 T 2000-Watt with Instant Heating Feature (Black),,"2,189",3.8,"1,670",,Kitchen-And-Home-Appliances
15,Water Heater Rod Immersion Rod 1500W Shock Proof and Water Proof for Water Heating with Nickle Coating for Extra Long Life | 1 Year Warranty | ISI Marked,,398,4.0,95,,Kitchen-And-Home-Appliances
16,"iScale Electronic Platform Weighing Scale 200kg Capacity 20g Accuracy Weight Machine Digital for Shop, Commercial and Industrial use Stainless Steel Platform size 20x20 Inches (500x500mm)",,"7,499",4.1,105,,Kitchen-And-Home-Appliances
17,Parakeet Water Tank Screen Filter With 2 Filter Connections and 1 Teflon Tape || Ideal For Home & Agriculture Use (Size 1 inch),,499,4.6,5,,Kitchen-And-Home-Appliances
18,Care N Made® Water Filter Spanner,,119,3.6,9,,Kitchen-And-Home-Appliances
19,BE MALL Round Barbeque Jali Roti Roast Grill Papad Roaster Chapati Toast Grill Wooden Handle Paneer Tandoor Net - Round Shape,,293,3.8,24,,Kitchen-And-Home-Appliances
20,KARJ FAMILY Butter Milk Lassi Maker Hand Press Blender Mixer Egg Beater Lassi Butter Handle Coffee Milk Egg Beater Mixer Shaker,,249,3.4,11,,Kitchen-And-Home-Appliances
21,"Seazone Ro Push fit Connector,Push to Connect Water Tube Fitting Ball Valve,Tee,Straight Union,E-blow Union Tube Fitting, 5 Meter 1/4"" Pipe for Ro Water purifiers Set - 26 Pcs",,375,4.3,53,,Kitchen-And-Home-Appliances
22,"Baijnath Premnath Digital 5kg x 1g Kitchen Scale Balance Multi-Purpose Weight Measuring Machine with Adapter Weighing Scale & for Laboratories, Research Purpose",,699,3.7,281,,Kitchen-And-Home-Appliances
23,REZEK Electric Non Stick Cooking Pan Omelette Maker 7 Egg Boiler Poacher Cooker Multi cooking Pot Steamer Boiler,,599,2.6,9,,Kitchen-And-Home-Appliances
