,title,brand,price,rating,reviewCount,description,categories
0,"Plastic Kent Type Copper Plated Tap Compatible with All Ro Water Purifiers, 4 Inch Copper Colour",,149,Only 2 left in stock.,,,LivingRoom-And-Furniture
1,"ImegaZ Rustproof PVC Adjustable Water Dispenser Stand for All Models Water Dispensers I Multipurpose Dispesner Trolley (White Colour, Pack of 1)",,469,5.0,1,,LivingRoom-And-Furniture
2,Bajaj Bahar Fresh 225 mm Air Fan (Mettalic Grey),,"1,416",3.9,337,,LivingRoom-And-Furniture
3,"Luminous UPS Square Wave Eco Watt Neo 800 Inverter for Home, Office, and Shops",,"4,450",4.0,46,,LivingRoom-And-Furniture
4,Hometronics Classic Range Non-Stick Non-Electric Gas Sandwich Toaster Toast - Black,,360,4.4,3,,LivingRoom-And-Furniture
5,"Grass Air Cooler Cooling Pads, Wood Wool for air Coolers (36"" x 24"", Brown) - Set of 3",,,3.4,42,,LivingRoom-And-Furniture
6,QONETIC Electronic Kitchen Digital Weighing Scale Multipurpose 10 Kg (SF-400A),,499,3.7,"1,297",,LivingRoom-And-Furniture
7,"AGARO Sonnet 1000-Watt, 1.8 Litre Stainless Steel Electric Kettle, with Boil-Dry Protection & Auto Shut Off (Red)",,899,4.1,418,,LivingRoom-And-Furniture
8,"Varada Max XL Air Fryer 12 Litre Large Capacity Air Fryer , 8-in-1 Electric Air Fryer Toaster dehydrator for Oil-Less Air Frying Cooking, with Dried Fruit Function, Large LED Digital Touch Screen , and Overheat Protection",,"8,999",4.2,309,,LivingRoom-And-Furniture
9,"Voltmi Aura Portable Air Purifier (White) for Car, Home & Office, 99.5% Air Purification Rate, 3 Stage Air Filtration, Intelligent AI Based Air Quality Sensor-Indicator LED Lights, H13 Grade True HEPA Filter, One-key deodorization, 1 Year Warranty",,"2,499",3.3,20,,LivingRoom-And-Furniture
10,DREAM CARE Grey Floral Printed Microwave Oven Cover Full Closure Suitable for IFB Samsung LG Panasonic Bajaj Whirlpool (21.5 x 13 x 20) Inch,,299,4.0,665,,LivingRoom-And-Furniture
11,"Portable Mini AC air Cooler USB Battery Operated Mini Water Air Cooler Cooling Fan Blade Less Duel Blower with Ice Tray Best for Home,Shop,Table,Kitchen,Outdoor Pack of 1",,399,,,,LivingRoom-And-Furniture
12,"Seazone 1/4"" Connector Pack Connectors Pack for RO UV UF Water Filters Purifiers",,249,3.7,16,,LivingRoom-And-Furniture
13,"Usha Colossal Wet Grinder 150 W, 2 Ltr, Copper Motor with Atta Kneader and Coconut Scrapper (Magenta)",,"5,270",3.9,178,,LivingRoom-And-Furniture
14,"Livguard PT 1548TT 150 Ah Tall Tubular Battery for Home, Small Shops and Small Office",,,3.7,3,,LivingRoom-And-Furniture
15,Fellowes Prismo Aero Press Attachment,,"2,659",4.6,"3,433",,LivingRoom-And-Furniture
16,Aquatec Plus - Advance plus 12 ltr RO + UV + UF + TDS Water purifier for home (white black) work up to 3000 tds,,"7,207",4.3,664,,LivingRoom-And-Furniture
17,Hot life Portable Charcoal Barbecue Grill with 8 Wooden skewers 1 Tong 1 Hand Glove 1 Grill (Direct from Factory),,"1,248",3.6,126,,LivingRoom-And-Furniture
18,"VENUS Lava Instant 3L30 3-Litre 3KW, Instant Water Heater (White) Copper Tank with 10 Years Guarantee - ISI",,"4,690",4.2,980,,LivingRoom-And-Furniture
19,AMERICAN MICRONIC-Imported Electric Deep Fryer (Uses Oil) with timer and thermostat (3 Litre)-AMI-DFP-30LDx,,"3,722",4.0,488,,LivingRoom-And-Furniture
20,Crompton Avancer Prime 1200 mm (48 inch) Decorative Ceiling Fan with Anti Dust Technology (Conch Cream),,"4,160",4.2,"1,229",,LivingRoom-And-Furniture
21,JPT UNDERBODY/UNDERCARRIAGE CAR CHASIS Washer Lance ATTACHMENTS (UNDERBODY Lance with Extension RODS),,"2,698",3.6,21,,LivingRoom-And-Furniture
22,"Maharaj Stainless Steel Blade Electric Meat Grinders with 2.5 L Bowl for Kitchen Food Chopper, Meat, Vegetables, Onion Slicer Dicer, Fruit and Nuts Blender",,"1,259",3.9,47,,LivingRoom-And-Furniture
23,"Philips Daily Collection HD9218 Air Fryer, uses up to 90% less fat, 1425W, with Rapid Air Technology (Black)",,"11,984",4.4,"2,482",,LivingRoom-And-Furniture
