,title,brand,price,rating,reviewCount,description,categories
0,"Team India Retro Limited Over Jersey - Rohit Sharma, Regular Fitting",MPL Sports,399,3.2,10,"This Team India's official Limited-Overs Retro Jersey is a special one as it comes with the name Rohit Sharma printed on the back. Made of 100% polyester, the jersey has a jacquard fabric to ensure appropriate breathability and comfort all day long. Stand out from the crowd in this iconic jersey. Calling all Rohit Sharma fans out there, you wouldn€™t want to give this one a miss!",Mens-wear
1,Men's Regular Fit Staff Uniform Tee,Puma,469,4.0,21,"Flaunt the latest & coolest styles from Puma. As one of the world’s leading sports brands, PUMA believes in standing on the same playing field as the fastest athletes on the planet. With a mission of Forever Faster, PUMA shares excitement in Teamsports, innovates Golf, brings style into Running and Training and performance into Motorsports.",Mens-wear
2,Men's Relaxed Short Sleeve TOP,Nike,629,2.6,30,"Nike Dri-FIT technology is an innovative polyester fabric designed to help keep you dry so you can more comfortably work harder, longer.",Mens-wear
3,Paris Saint-Germain: Classic Joggers (Navy),Shop The Arena,"1,099",Previous page,,Get your official Paris Saint-Germain F.C. merchandise and sport the colours of one of the most dominant clubs in Europe. Ici C'est Paris!,Mens-wear
4,Anime T Shirt for Men and Women Regular Demon Slayer Zenitsu Agatsuma Kimetsu No Yaiba Tshirts Unisex Pure Cotton Casual Wear Round Neck T-Shirt,Darkbuck,599,5.0,1,"Pure Cotton Bio-Wash is a Premium cotton that have finishing process that enhances fabric quality by decreasing the pilling tendency and fuzziness of (cellulose) knitted fabrics. This finishing process applied to cellulose textiles that produces permanent effects by the use of enzymes. This process removes protruding fibres & slubs from knitted fabrics, significantly reduces pilling, softens fabric hand and provides a smooth fabric appearance .Cotton shirts breathe better than clothing made with synthetic materials, and are less prone to retaining odors and losing shape. Even better — cotton t-shirts are low maintenance and don't have a ton of washing instructions. It's a soft, familiar fabric that everyone can believe in.",Mens-wear
5,Couple’s Printed T-Shirt I Cotton Round Neck Full Sleeve Tshirts I Slim Fit Tees I Trendy & Stylish Look I Pre Wedding T-Shirts I for Husband Wife - Pack of 1,Lappen Fashion,639,5.0,1,,Mens-wear
6,Men's Regular Fit T-Shirt,Levi's,615,3.8,33,Our t-shirts and denim were made for each other. Our collection of graphic tees; vintage-inspired and modern styles to wear with your favourite denim are made with soft jersey for extra comfort.,Mens-wear
7,Men's Regular Fit T-Shirt,Levi's,639,4.0,1,"Whether you're lounging about all day at home or hanging out with friends, the Levi's Round Neck Tee is the ideal choice. This regular fit premium material t-shirt has a round neck and short sleeves. Pair this t-shirt with your favourite jeans for a dressed down look.",Mens-wear
8,Men's Regular Fit T-Shirts (Pack of 3),BULLMER,479,3.6,334,"Shop from a wide range of T-Shirts from BULLMER . Perfect for your everyday use, you could pair it with a stylish pair of Jeans or Trousers complete the look.",Mens-wear
9,Dark Netflix Web Series Design Printed100% Cotton Biowash T-Shirt 180GSM for Men,MyTees,499,4.5,2,,Mens-wear
10,"Men's Bamboo Undershirt, Anti Microbial, Anti Odor, Breath tech Super Soft & Comfort Fit Lounge wear and Sleep wear Tshirt (Pack of 2)",FREECULTR,999,4.0,140,"Versatile Wear: When chilling at home or hitting the gym, this t-shirt is functional enough to fetch the best of both comfort and style worlds! Sweat Soaking Panel: Dual-layered armpits and bamboo-cotton-spandex fabric composition prevent sweat-spotting. No matter where you live or what you do, no sweat stain is what we claim! Seamless Stitching : Well-designed shoulder cuts, almost invisible edges and super clean hems for a classy & crisp silhouette. Reflective branding: Just like a bright star on a dark night, our edgy branding lends a subtle yet suave glow!",Mens-wear
11,Polo T-Shirt for Men(S-T51-BL_D8) BlackEYEBOGLERMenRegularT-Shirt,EYEBOGLER,329,3.1,36,,Mens-wear
