,title,brand,price,rating,reviewCount,description,categories
0,Men Cotton Regular Fit Striped Polo Neck T-Shirt (P-MTSH00098),Cantabil,799,4.2,3,"CANTABIL Fashion is a new and fascinating fashion brand that provides you the latest men's and women's fashion trends. In our products, we encourage to express the perfect combination of elegance and comfort. In today's fast-paced world, we strive to differentiate and innovate our product line in order to appeal to the trend-setting generation. We are constantly aiming to offer fresh styles and bring value to India's fashion aware wardrobes, keeping our customers' satisfaction as our top goal. Choose from our trendy selection of Jeans, T-Shirts, Shirts, Trousers, Chinos, Sweatshirts, Jackets, and more, and you'll be sure to smile, look good, and feel good.",Mens-wear
1,Men T-Shirt,Reebok,649,No reviews,,"High GSM Cotton Polo for one's everyday color needs for men. Main body with collar, heat transfer. Regular Fit Speedwick.",Mens-wear
2,Men's Regular T-Shirt,Fusefit,180.,4.1,6,"This tee is super comfortable and regular fit,made with artificial fabric for comfort wearing,looks attractive and can be paired with denim,shorts,joggers,pants etc",Mens-wear
3,Men's Regular Fit Polo,U.S. POLO ASSN.,,3.3,7,"U.S. POLO ASSN. captures the authenticity of polo and stays true to a classic American style updated to complement today’s on­the­go lifestyle. Officially sanctioned by the United States Polo Association (the governing body of polo in the USA since 1890), the brand carries clothing for men, women and children, as well as accessories, luggage, watches, shoes, home furnishings and more.",Mens-wear
4,Blue Solid Cotton Pique Polo Shirt,AEROPOSTALE,799,3.5,4,Spruce up your casual rotation with this polo shirt from Aeropostale. The breathable cotton construction allows day-long comfort to the wearer while a ribbed collar and sleeve hems complete the design. Team it with rolled-up chinos and sneakers.,Mens-wear
5,Men's Regular Fit T-Shirt,F GALLERY,472.,3.0,87,,Mens-wear
6,Men's Regular Fit Polo Shirt,Adidas,699,3.8,18,"Flat knit collar and cuff, polo neck style and short sleeve",Mens-wear
7,Men’s Printed Regular Fit Premium Cotton T-Shirt,Tantra,699,4.7,2,,Mens-wear
8,Men's Regular Fit T-Shirt (ALKCVSGFS47998_White_2 Extra Large),Allen Solly,439,5.0,1,Ace weekend dressing in this White Print Crew Neck T Shirt from Allen Solly Jeans by Allen Solly.,Mens-wear
9,Anime Luffy Eyes Oversized T Shirt for Men and Women Drop Shoulder Loose Baggy Fit Unisex Pure Cotton T-Shirt,Darkbuck,749,New to Amazon,,"Looking for a trendy and comfortable t-shirt to show off your love for anime? Look no further than the Luffy Eyes Oversized T-Shirt! This unique graphic tee features a stylish and eye-catching design of Luffy's iconic eyes from the hit anime series, One Piece. Made from premium quality materials, this t-shirt is both comfortable and durable, making it perfect for everyday wear. Crafted from soft and breathable cotton fabric, this t-shirt offers a relaxed and comfortable fit that is perfect for all body types. With its oversized design, it is ideal for layering or wearing on its own, making it a versatile addition to your wardrobe.",Mens-wear
