,title,brand,price,rating,reviewCount,description,categories
0,"Bebop High Speed HDMI Male to Male Cable Supports 4K @ 60Hz, UHD, HDR, 3D Content Ethernet & Audio Return Channel - 4K, UHD, 2160p, 1440p, 1080p, 1080i, 720p, 480p, 480i Latest Version (3 Mtr)",Bebop,499,No reviews,,"Please select appropriate display resolution & refresh rate for proper display output. HDMI A Male to A Male Cable: Supports Ethernet, 3D, 4K video and Audio Return Channel (ARC)Connects Blu-ray players, Fire TV, Apple TV, PS4, PS3, XBox one, Xbox 360, computers and other HDMI-enabled devices to TVs, displays, A/V receivers and moreCable allows you to share an Internet connection among multiple devices without the need for a separate Ethernet cableMeets HDMI 2.0 standards (4K Video at 60 Hz, 2160p, 48 bit/px color depth) that supports bandwidth up to 18Gbps and backwards compatible with earlier versionsCable Length 1.5 meters",Electronic_accesories
1,"CRYSTALOPRO Surface Pro Charger 65W, Microsoft Surface Pro Laptop Charger, Compatible for Surface Pro 7/6/5/4/3/X, Surface Book, Surface Go/3/2/1 PowerSupply Charger",CRYSTALO PRO,"2,500",3.9,15,"1.Replacement for 24W/ 36W/ 44W / 65W power charger. With Additional USB Port, Wall Plug and 6ft Power Cord2.This power adapter match for Microsoft Surface Go(2018), Surface Pro 6(2018 Latest release), Surface Pro 5(2017), Surface Pro 4(2015), Surface Pro 3(2014), Surface Pro (2014~2018), Surface Laptop 2(2018 Latest release), Surface Laptop, Surface Book and Surface Book 23.Input:100-240V 1.6A 50/60 Hz; Output:15V-4A 65W; USB port (USB 2.0,5V-1A)4.Safe: Automatic thermal, overload cut-off, and short circuit protection; 5.65W surface pro charger with Lengthen Power CordPower Source Type: Corded Electric",Electronic_accesories
2,VTS S2 Speedlite S-Type Bracket Bowens Mount Flashes & Accessories,,"1,299",3.5,13,"[Stronger adaptability]S2 Bracket is update version of S type bracket, fit more speedlites and flashes, such as V1 round Head speedlite,V860II series, T685 series, TT350 series, and outdoor flashes AD series like AD400Pro, AD200Pro[Better quality and protection]No-slip surface, mounts with light pressure, Will not scratch your equipment[More Angle]S2 bracket can tilt stepless, suitable for different angles of lighting. It can be hold in hand or install on a light stand.[More Compact and Portable]S2 bracket has less size and is more compact and portable than the original S type bracketMade of Impact Resistant ABS Plastic, Precise Stepless Tilt Control, Large Adjustment Handle, Integrated Umbrella MountFLASH/LIGHT NOT INCLUDED.",Electronic_accesories
3,Pikkme Samsung Galaxy S20 FE / S20 FE 5G Back Cover | Flexible Pu Leather | Full Camera Protection | Raised Edges | Super Soft-Touch | Bumper Case for Samsung Galaxy S20 FE / S20 FE 5G (Brown),Pikkme,299,3.7,11,"All Around protection: Soft Silicon inner case wraps around the whole phone for all around protection. Covers all four sides and includes raised edges to keep the screen safe.High Quality Material : Our cases are 100% handmade. We use premium PU leather which has a smooth, consistent texture and is easy to clean and maintain. It is durable and the grip of the premium leather is of top-grade.PRECISE CUTOUTS:Take pictures, listen to music, charge your phone, and use your side buttons without removing the case! Exquisite cutouts offer an easier access to all ports, all buttons, sensors, speakers and camera on your phone. The stitched lining with handmade workmanship looks distinctive and superior.Camera Protection: The cover has raised edges around the camera which protects it even during a fall.Comfortable Grip: Unique luxury texture design offers good grip and comfort with its leather outside finish, excellent handicraft, features perfect hand feeling. Maximize the functionality of your phone with Anti-Slip sides.",Electronic_accesories
4,Magnetic USB C Female to Mag-Safe 2 T Tip Male Adapter Compatible with MacBook Pro Air Type-C Converter Connector Support 100W 60W 85W 45W PD Fast Charging Charger 2013 2012 2014 2015 MD223 A1465 A1466,CRYSTALO PRO,999,5.0,2,"[Convenient Design]: This USB C to Mag-Safe 2 adapter perfect fit your old version Macbook Air Pro. You can charge MacBook Pro/Air with magnetic 2 interface use your USB-C adapter cable at anywhere. You don't need to bringing different chargers and cables. This Mag-Safe 2 Power Adapter features a magnetic DC connector so if someone should trip over it, the cord disconnects harmlessly and your MacBook Air/Pro stays put safely.[Wide Compatible]: Compatible with MacBook Air & Pro: MacBook Pro (Retina, 15-inch, Mid 2012 - 2015), MacBook Pro (Retina, 13-inch, Late 2012 - 2015) MacBook Air (13-inch, Early 2015 - 2017), MacBook Air (11-inch, Early 2015)[High quality]: The adapter is made of high-quality aluminum alloy shell, with LED indicator. Well-designed ensure the connector is not easy to fall off and protects the device for stable charging.[Compact and elegant]: Beautiful and fashionable design. Very compact ensure you can carry it with you anywhere.[PD Fast Charging]: Charging only. This adapter can support 85/60W/45W fast charging. It does not support data transmission and HDMI, etc.",Electronic_accesories
5,"TheGiftKart Tough Armor Bumper Back Cover Case for iQOO Z6 44W / Vivo T1 44W | Ring Holder & Kickstand in-Built | 360 Degree Protection Back Case Cover for iQOO Z6 44W / Vivo T1 44W (PC, TPU | Greyish Blue)",TheGiftKart,399,4.3,205,COMPATIBILITY: Mobile Back Case Cover for iQoo Z6 44W / Vivo T1 44W only.360 DEGREE PROTECTION: This Sturdy Armor Case has a Rugged Construction which provides the phone All-Round Protection. Raised Lips on Front & Back provide Proper Camera & Screen Protection.RING HOLDER: Innovative Ring Holder Design is Highly Adjustable which allows you to hold phone with Extreme Ease & Comfort.IN-BUILT STAND: The Inbuilt Stand Provides you a Handsfree Experience while watching any Movie or Video Content.METAL PLATE INSIDE: A High-Density Metal Plate is Installed in this case which makes it Compatible with that Magnetic Car Holder in your Car.,Electronic_accesories
6,"SwooK Magnetic Flip Cover case for Old Kindle Paperwhite 1 2 3 7th Gen Generation Released in 2012 2013 2014 2015 2016 New 300 PPI Versions 6"" inch Display Flip Cover Case Shell (Blue Constellation)",SwooK,499,4.5,"2,157","⚠️【COMPATIBILITY】Designed for Amazon Kindle Paperwhite (Fits All versions: 2012, 2013, 2014, 2015 and 2016 All-New 300 PPI Versions with 6"" Display and Built-in Light, will not fit Kindle or Kindle Touch)[Full Protection]: Front PU leather and PC Hard back cover to protect your e-Book well from every angle, Easy to disassemble. Precise cutouts, full access to all features without removing the case, scratch-resistant, full protection.[Auto Sleep/Wake] This e-Book case can auto wake or put your device to sleep by opening or closing the cover.[Top Quality Material & Rugged Workmanship] The soft scratch-free microfiber interior adds comfort and an additional layer of protection.[For a Fresh Looks]: Available in a variety of bright and fun colors - ranging from classic to vibrant",Electronic_accesories
7,"Ambrane 20000 mAh lithium_polymer Neos Power Bank Fast Charging, Black",Ambrane,"1,999",3.9,"9,685","High Performance- With 20000 mAh battery capacity and dual ports for input and output, it's a powerbank with no hassle and only great performance and experience.Dual Outputs - The power bank has dual output available to charge your devices. Any device that supports USB output is rechargeable from the powerbank. When two devices are being charged simultaneously, it intelligently adjusts power output to match the device's requirement and gives efficient charging speed.Inputs ports - The dual input ports allow you to recharge the power bank with either micro USB or Type-C cable, hence you don’t have to carry extra cablesOnce fully charged it is powerful enough to recharge a device with 3000 mAh battery for upto 5 times. It can charge mobile devices like Redmi Note 8 (4000 mAh) - 4 times, Samsung Galaxy M30s (6000mAh)- 2.5 times, Samsung Galaxy J7 (3000 mAh) - 5 times, Iphone 11 (3000 mAh) - 5 times, Oneplus 7T (3800mAh) - 4 times, etc.",Electronic_accesories
8,"CABLESETC Micro USB Female to USB 2.0 Type-A Male Connector Adapter Converter for EKYC Fingerprint KYC Powerbank Charge Sync OTG Morpho 1300 E2, E3/Mantra MFS100/Startek FM 220/Cogent/Secugen Pro 20",,177,3.8,378,"Micro USB Female To USB Male Cable, USB 2.0 compliantUse For Mantra , Morpho, Startek , Cogent Fingerprint KYCConnects Every OTG Fingerprint Device To PC Or LaptopSIM Activation And EKYC ApprovedCompatible for OTG Morpho 1300 E2, E3. Also use in powerbank. Sync and Charge.",Electronic_accesories
9,"CableCreation 100-PACK Cat 6 RJ45 Connector, UTP Network Plug for Solid Wire and Standard Cable, Transparent",CableCreation,606,4.5,"4,127","100 pcs Rj45 plugs for unshielded twisted pair solid or stranded cable, supports 24 to 26 AWG round or flat network cableGold-plated contacts provides reliable performance for a Gigabit Ethernet rated networkSave money by using these connectors to create your own patch cablesROHS compliant, and the color is Transparent, allow indicator light penetration betterEasy for Carry, Gold plated connectors resist corrosion, improve the signal performance",Electronic_accesories
